date,economic_activity
2021-01-01,5063
2021-02-01,5083
2021-03-01,5414
2021-04-01,5319
2021-05-01,5582
2021-06-01,5783
2021-07-01,5566
2021-08-01,5600
2021-09-01,5616
2021-10-01,5495
2021-11-01,5307
2021-12-01,5308
2022-01-01,5071
2022-02-01,5038
2022-03-01,4926
2022-04-01,5335
2022-05-01,5337
2022-06-01,5518
2022-07-01,5695
2022-08-01,5549
2022-09-01,5613
2022-10-01,5583
2022-11-01,5181
2022-12-01,5122
2023-01-01,4914
2023-02-01,4753
2023-03-01,4423
2023-04-01,4299
2023-05-01,4394
2023-06-01,4394
2023-07-01,4476
2023-08-01,4628
2023-09-01,4735
2023-10-01,5019
2023-11-01,5023
2023-12-01,5105
2024-01-01,5462
2024-02-01,5483
2024-03-01,5454
2024-04-01,5671
2024-05-01,5571
2024-06-01,5701
2024-07-01,5681
2024-08-01,5435
2024-09-01,5459
2024-10-01,5272
2024-11-01,5147
2024-12-01,5070
2025-01-01,4741
2025-02-01,4558
2025-03-01,4428
2025-04-01,4347
2025-05-01,4355
2025-06-01,4379
2025-07-01,4404
2025-08-01,4517
2025-09-01,4556
2025-10-01,4803
2025-11-01,4817
2025-12-01,5218
