date,value
2021-01-01,3056
2021-02-01,2923
2021-03-01,2904
2021-04-01,3043
2021-05-01,2980
2021-06-01,3064
2021-07-01,3043
2021-08-01,2993
2021-09-01,2924
2021-10-01,2364
2021-11-01,2960
2021-12-01,3077
2022-01-01,3019
2022-02-01,2888
2022-03-01,3016
2022-04-01,3035
2022-05-01,2920
2022-06-01,3014
2022-07-01,3005
2022-08-01,2897
2022-09-01,3032
2022-10-01,3050
2022-11-01,3747
2022-12-01,3095
2023-01-01,2876
2023-02-01,2916
2023-03-01,3046
2023-04-01,3046
2023-05-01,3046
2023-06-01,3347
2023-07-01,3051
2023-08-01,3102
2023-09-01,3086
2023-10-01,3059
2023-11-01,2972
2023-12-01,3068
2024-01-01,2930
2024-02-01,2279
2024-03-01,2956
2024-04-01,3007
2024-05-01,3208
2024-06-01,2832
2024-07-01,3062
2024-08-01,2855
2024-09-01,2958
2024-10-01,3098
2024-11-01,3006
2024-12-01,2903
2025-01-01,2936
2025-02-01,3611
2025-03-01,2934
2025-04-01,3019
2025-05-01,3004
2025-06-01,2941
2025-07-01,3193
2025-08-01,3057
2025-09-01,2818
2025-10-01,3017
2025-11-01,2940
2025-12-01,3077
