date,sales
2021-01-01,883
2021-02-01,844
2021-03-01,911
2021-04-01,1058
2021-05-01,1478
2021-06-01,1347
2021-07-01,1047
2021-08-01,1015
2021-09-01,1013
2021-10-01,1127
2021-11-01,1263
2021-12-01,1604
2022-01-01,914
2022-02-01,920
2022-03-01,873
2022-04-01,1144
2022-05-01,1468
2022-06-01,1305
2022-07-01,1068
2022-08-01,925
2022-09-01,1007
2022-10-01,1177
2022-11-01,1317
2022-12-01,1547
2023-01-01,902
2023-02-01,862
2023-03-01,1012
2023-04-01,1142
2023-05-01,1461
2023-06-01,1348
2023-07-01,1083
2023-08-01,1044
2023-09-01,1005
2023-10-01,1169
2023-11-01,1266
2023-12-01,1529
2024-01-01,955
2024-02-01,904
2024-03-01,995
2024-04-01,1137
2024-05-01,1445
2024-06-01,1330
2024-07-01,1083
2024-08-01,997
2024-09-01,1039
2024-10-01,1209
2024-11-01,1361
2024-12-01,1601
2025-01-01,969
2025-02-01,907
2025-03-01,943
2025-04-01,1159
2025-05-01,1512
2025-06-01,1446
2025-07-01,1103
2025-08-01,1051
2025-09-01,1059
2025-10-01,1169
2025-11-01,1350
2025-12-01,1636
