date,sales
2021-01-01,2022
2021-02-01,2022
2021-03-01,2085
2021-04-01,2153
2021-05-01,2101
2021-06-01,2129
2021-07-01,2239
2021-08-01,2231
2021-09-01,2203
2021-10-01,2276
2021-11-01,2259
2021-12-01,2287
2022-01-01,2347
2022-02-01,2278
2022-03-01,2314
2022-04-01,2395
2022-05-01,2402
2022-06-01,2490
2022-07-01,2463
2022-08-01,2468
2022-09-01,2626
2022-10-01,2578
2022-11-01,2619
2022-12-01,2580
2023-01-01,2648
2023-02-01,2705
2023-03-01,2676
2023-04-01,2773
2023-05-01,2757
2023-06-01,2799
2023-07-01,2813
2023-08-01,2951
2023-09-01,2895
2023-10-01,2876
2023-11-01,2989
2023-12-01,2925
2024-01-01,3017
2024-02-01,2948
2024-03-01,3004
2024-04-01,3101
2024-05-01,3153
2024-06-01,3156
2024-07-01,3171
2024-08-01,3190
2024-09-01,3165
2024-10-01,3228
2024-11-01,3267
2024-12-01,3364
2025-01-01,3359
2025-02-01,3293
2025-03-01,3415
2025-04-01,3411
2025-05-01,3426
2025-06-01,3512
2025-07-01,3558
2025-08-01,3582
2025-09-01,3530
2025-10-01,3582
2025-11-01,3639
2025-12-01,3696
