Date,Electricity_Consumption_MWh
01-01-2021,540.5
01-02-2021,530.3
01-03-2021,524.2
01-04-2021,518.6
01-05-2021,502.8
01-06-2021,498.8
01-07-2021,515.9
01-08-2021,519.8
01-09-2021,529.7
01-10-2021,549.7
01-11-2021,562.7
01-12-2021,572.7
01-01-2022,575.2
01-02-2022,557.4
01-03-2022,548.4
01-04-2022,544.2
01-05-2022,534.9
01-06-2022,537.6
01-07-2022,539.5
01-08-2022,544.9
01-09-2022,575.3
01-10-2022,581.9
01-11-2022,601.3
01-12-2022,603.9
01-01-2023,607.3
01-02-2023,603.6
01-03-2023,587.2
01-04-2023,584.9
01-05-2023,573
01-06-2023,570.5
01-07-2023,577
01-08-2023,597.3
01-09-2023,603.9
01-10-2023,613.7
01-11-2023,641.1
01-12-2023,640.9
01-01-2024,647
01-02-2024,629.2
01-03-2024,622.4
01-04-2024,620
01-05-2024,615.7
01-06-2024,608.9
01-07-2024,615.4
01-08-2024,622.5
01-09-2024,632.6
01-10-2024,651.4
01-11-2024,670.7
01-12-2024,688.3
01-01-2025,683.7
01-02-2025,666.2
01-03-2025,666.6
01-04-2025,653.1
01-05-2025,644.6
01-06-2025,647.1
01-07-2025,657.2
01-08-2025,664.7
01-09-2025,671.8
01-10-2025,689.5
01-11-2025,710.7
01-12-2025,723.9
