Date,Tourist_Arrivals
2021-01-01,15650
2021-02-01,16941
2021-03-01,18105
2021-04-01,19863
2021-05-01,23467
2021-06-01,27130
2021-07-01,29766
2021-08-01,29753
2021-09-01,26195
2021-10-01,23908
2021-11-01,22512
2021-12-01,21963
2022-01-01,21101
2022-02-01,23422
2022-03-01,22895
2022-04-01,27325
2022-05-01,29965
2022-06-01,33666
2022-07-01,38428
2022-08-01,35280
2022-09-01,32859
2022-10-01,31055
2022-11-01,29169
2022-12-01,26206
2023-01-01,25866
2023-02-01,27708
2023-03-01,31075
2023-04-01,33347
2023-05-01,36313
2023-06-01,42134
2023-07-01,46974
2023-08-01,46320
2023-09-01,39416
2023-10-01,36955
2023-11-01,33617
2023-12-01,30781
2024-01-01,31915
2024-02-01,33799
2024-03-01,36265
2024-04-01,39144
2024-05-01,42154
2024-06-01,48762
2024-07-01,54906
2024-08-01,52255
2024-09-01,47010
2024-10-01,44182
2024-11-01,41645
2024-12-01,37513
2025-01-01,37198
2025-02-01,39027
2025-03-01,40119
2025-04-01,45645
2025-05-01,50676
2025-06-01,60468
2025-07-01,63593
2025-08-01,61888
2025-09-01,54233
2025-10-01,48753
2025-11-01,46893
2025-12-01,43554
